cohort,sigma,auc_mean,dice_mean,coverage_mean,n_eval
PROTEAS-brain-mets,20.0,0.7644934617600526,0.0061805821301087905,0.8774043381114932,100
PROTEAS-brain-mets,25.0,0.7387260911591182,0.004675654010961591,0.9308173690932313,100
PROTEAS-brain-mets,30.0,0.7318481730821287,0.003758874489448902,0.97,100
UPENN-GBM,1.0,0.6490655218661247,0.08130129738598883,0.055794954291508214,39
UPENN-GBM,2.0,0.6611065065467946,0.23859201489380202,0.18907988056337943,39
UPENN-GBM,3.0,0.6658131859766334,0.3562803444277786,0.3275792295058007,39
UPENN-GBM,4.0,0.6664600427271267,0.44110325668135086,0.44966718477158046,39
UPENN-GBM,5.0,0.6641225145752243,0.48867307872994237,0.52084545046322,39
UPENN-GBM,7.0,0.6625929947151962,0.5597676184706862,0.6329317285783779,39
UPENN-GBM,10.0,0.6638293716368315,0.6602904829278776,0.8191605304934333,39
UPENN-GBM,12.0,0.6679888913631531,0.6995359033251487,0.9158313057639305,39
UPENN-GBM,15.0,0.6879283784099507,0.7207230720874922,0.9796058607396211,39
UPENN-GBM,20.0,0.7071916959161957,0.7260534194820896,0.9968916852580653,39
UPENN-GBM,25.0,0.6935432630632532,0.7274994902998188,1.0,39
UPENN-GBM,30.0,0.7065447455863586,0.7274994902998188,1.0,39
Yale-Brain-Mets,1.0,0.8966896226597777,0.04649874082103879,0.03338824332002452,19
Yale-Brain-Mets,2.0,0.8999360169676526,0.08707646641242342,0.1617194582175991,19
Yale-Brain-Mets,3.0,0.8912936203461662,0.07254378353895052,0.29161468552208963,19
Yale-Brain-Mets,4.0,0.8776921658937484,0.048334435354822534,0.399732829762311,19
Yale-Brain-Mets,5.0,0.8601158020925863,0.03042707736672079,0.5209248447005426,19
Yale-Brain-Mets,7.0,0.8269291165278417,0.017490384776600858,0.6747970681421076,19
Yale-Brain-Mets,10.0,0.7980925122662246,0.011193379687919471,0.7915407471055419,19
Yale-Brain-Mets,12.0,0.7804658313800309,0.00905188185490918,0.8293948665790093,19
Yale-Brain-Mets,15.0,0.7413838153870106,0.00796003486691963,0.882544312841043,19
Yale-Brain-Mets,20.0,0.689968899643382,0.006716755235524337,0.9571862844400512,19
Yale-Brain-Mets,25.0,0.6733485926086751,0.005131944824446132,0.9910526315789473,19
Yale-Brain-Mets,30.0,0.6667585919451744,0.0049674759295601795,1.0,19
